,N1,N4,N7,N8,N9,N11,N13,N15,N16,N17,N18,N22,NW1,NW2,NW4,NW6,NW9,NW10,NW11,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,W2,W3,W5,W6,W12,WC2N,SE1,SE2,SE5,SE6,SE7,SE8,SE9,SE10,SE13,SE14,SE15,SE16,SE17,SE18,SE20,SE25,SE27,SE28,SW2,SW4,SW6,SW8,SW9,SW11,SW15,SW16,SW17,SW18,SW19
2014,41.0,32.0,11.0,7.0,30.0,15.0,16.0,47.0,27.0,61.0,24.0,61.0,26.0,47.0,21.0,21.0,74.0,56.0,19.0,152.0,34.0,47.0,16.0,12.0,328.0,224.0,42.0,15.0,86.0,28.0,154.0,115.0,59.0,81.0,30.0,148.0,40.0,18.0,60.0,141.0,33.0,88.0,87.0,24.0,32.0,65.0,15.0,56.0,12.0,9.0,77.0,38.0,79.0,26.0,31.0,177.0,21.0,38.0,41.0,50.0,64.0,33.0,15.0,30.0,73.0,17.0,22.0,112.0,80.0,135.0,50.0
2015,44.0,36.0,34.0,17.0,32.0,16.0,13.0,46.0,35.0,45.0,29.0,55.0,30.0,27.0,18.0,22.0,49.0,60.0,19.0,145.0,19.0,60.0,15.0,41.0,219.0,204.0,44.0,27.0,95.0,56.0,129.0,125.0,54.0,79.0,49.0,138.0,63.0,21.0,27.0,22.0,34.0,22.0,137.0,29.0,88.0,56.0,23.0,49.0,25.0,27.0,59.0,44.0,129.0,44.0,66.0,219.0,28.0,37.0,11.0,50.0,62.0,33.0,9.0,30.0,52.0,51.0,21.0,88.0,69.0,67.0,49.0
2016,36.0,48.0,23.0,21.0,53.0,18.0,15.0,65.0,34.0,74.0,25.0,28.0,43.0,46.0,22.0,34.0,41.0,66.0,22.0,160.0,46.0,34.0,15.0,21.0,209.0,186.0,39.0,37.0,77.0,40.0,127.0,177.0,44.0,83.0,48.0,92.0,49.0,16.0,12.0,12.0,41.0,25.0,214.0,35.0,82.0,58.0,30.0,37.0,24.0,21.0,56.0,11.0,129.0,40.0,60.0,166.0,10.0,41.0,13.0,36.0,37.0,39.0,15.0,28.0,59.0,37.0,23.0,84.0,75.0,11.0,39.0
2017,23.0,38.0,21.0,28.0,67.0,17.0,18.0,51.0,21.0,65.0,39.0,39.0,25.0,62.0,18.0,19.0,38.0,88.0,17.0,127.0,17.0,41.0,18.0,20.0,204.0,165.0,26.0,15.0,64.0,32.0,106.0,131.0,38.0,87.0,49.0,103.0,29.0,19.0,17.0,4.0,39.0,46.0,279.0,20.0,41.0,26.0,14.0,22.0,12.0,14.0,20.0,27.0,69.0,23.0,32.0,121.0,23.0,27.0,17.0,28.0,21.0,28.0,19.0,19.0,61.0,36.0,11.0,98.0,89.0,27.0,67.0
2018,24.0,22.0,11.0,14.0,29.0,18.0,14.0,52.0,37.0,78.0,14.0,45.0,38.0,74.0,39.0,50.0,68.0,140.0,30.0,73.0,26.0,36.0,23.0,30.0,157.0,121.0,27.0,21.0,134.0,71.0,58.0,130.0,58.0,81.0,56.0,161.0,50.0,37.0,32.0,19.0,28.0,3.0,160.0,22.0,42.0,23.0,15.0,13.0,21.0,15.0,25.0,19.0,39.0,15.0,15.0,78.0,4.0,15.0,13.0,29.0,31.0,13.0,32.0,21.0,22.0,22.0,21.0,64.0,85.0,21.0,47.0
2019,28.0,45.0,26.0,24.0,23.0,24.0,24.0,81.0,37.0,72.0,24.0,38.0,47.0,80.0,24.0,39.0,66.0,148.0,24.0,88.0,37.0,24.0,24.0,27.0,83.0,76.0,25.0,21.0,119.0,45.0,58.0,71.0,59.0,85.0,56.0,153.0,71.0,34.0,26.0,24.0,38.0,2.0,58.0,12.0,42.0,29.0,16.0,9.0,15.0,8.0,19.0,9.0,58.0,27.0,31.0,76.0,13.0,11.0,13.0,15.0,22.0,17.0,25.0,20.0,28.0,17.0,15.0,67.0,58.0,14.0,25.0
2020,14.0,9.0,11.0,3.0,7.0,4.0,9.0,17.0,13.0,23.0,8.0,7.0,10.0,34.0,9.0,10.0,10.0,40.0,6.0,24.0,11.0,10.0,10.0,4.0,22.0,21.0,4.0,6.0,24.0,11.0,20.0,19.0,10.0,13.0,8.0,60.0,5.0,10.0,5.0,6.0,6.0,0.0,20.0,7.0,14.0,3.0,7.0,5.0,3.0,3.0,6.0,4.0,22.0,17.0,15.0,26.0,2.0,1.0,1.0,5.0,6.0,9.0,6.0,5.0,3.0,8.0,4.0,5.0,12.0,4.0,4.0
2021,9.0,2.0,5.0,6.0,12.0,1.0,8.0,12.0,2.0,15.0,5.0,9.0,2.0,15.0,8.0,3.0,8.0,15.0,10.0,6.0,2.0,6.0,9.0,9.0,26.0,20.0,7.0,4.0,25.0,13.0,12.0,9.0,9.0,19.0,5.0,33.0,23.0,7.0,2.0,8.0,7.0,0.0,14.0,7.0,7.0,8.0,2.0,4.0,5.0,7.0,9.0,4.0,11.0,5.0,10.0,18.0,6.0,12.0,3.0,2.0,4.0,0.0,4.0,2.0,4.0,4.0,0.0,14.0,14.0,7.0,9.0
