,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,NW1,NW2,NW3,NW4,NW5,NW6,NW7,NW8,NW9,NW10,NW11,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,EC1A,EC1M,EC1N,EC1R,EC1V,EC1Y,EC2A,EC2M,EC2N,EC2P,EC2R,EC2V,EC2Y,EC3A,EC3M,EC3N,EC3R,EC3V,EC4A,EC4M,EC4N,EC4R,EC4V,EC4Y,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W1A,W1B,W1C,W1D,W1F,W1G,W1H,W1J,W1K,W1S,W1T,W1U,W1W,WC1A,WC1B,WC1E,WC1H,WC1N,WC1R,WC1V,WC1X,WC2A,WC2B,WC2E,WC2H,WC2N,WC2R,SE1,SE2,SE3,SE4,SE5,SE6,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26,SE27,SE28,SW1A,SW1E,SW1H,SW1P,SW1V,SW1X,SW1Y,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW20
2014,41.0,6.0,4.0,32.0,5.0,0.0,11.0,7.0,30.0,2.0,15.0,15.0,16.0,12.0,47.0,27.0,61.0,24.0,11.0,7.0,5.0,61.0,26.0,47.0,8.0,21.0,7.0,21.0,7.0,7.0,74.0,56.0,19.0,152.0,34.0,47.0,16.0,12.0,328.0,224.0,42.0,15.0,86.0,28.0,154.0,115.0,59.0,81.0,30.0,148.0,3.0,9.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,0.0,40.0,18.0,4.0,60.0,141.0,6.0,19.0,5.0,2.0,7.0,33.0,3.0,11.0,1.0,3.0,4.0,10.0,2.0,2.0,3.0,2.0,19.0,67.0,5.0,4.0,4.0,2.0,1.0,0.0,53.0,16.0,0.0,1.0,5.0,0.0,1.0,1.0,9.0,88.0,9.0,87.0,24.0,8.0,9.0,32.0,65.0,15.0,56.0,12.0,9.0,17.0,13.0,77.0,38.0,79.0,26.0,31.0,177.0,13.0,21.0,6.0,10.0,22.0,13.0,38.0,20.0,41.0,50.0,4.0,18.0,0.0,4.0,11.0,5.0,5.0,64.0,9.0,33.0,4.0,15.0,4.0,30.0,73.0,7.0,17.0,13.0,0.0,0.0,22.0,112.0,80.0,135.0,50.0,9.0
2015,44.0,7.0,9.0,36.0,3.0,3.0,34.0,17.0,32.0,3.0,16.0,9.0,13.0,9.0,46.0,35.0,45.0,29.0,9.0,1.0,2.0,55.0,30.0,27.0,19.0,18.0,6.0,22.0,6.0,7.0,49.0,60.0,19.0,145.0,19.0,60.0,15.0,41.0,219.0,204.0,44.0,27.0,95.0,56.0,129.0,125.0,54.0,79.0,49.0,138.0,2.0,6.0,3.0,4.0,6.0,12.0,3.0,8.0,5.0,4.0,0.0,0.0,2.0,1.0,0.0,2.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,63.0,21.0,5.0,27.0,22.0,16.0,28.0,9.0,17.0,12.0,34.0,8.0,9.0,0.0,6.0,2.0,15.0,1.0,0.0,8.0,2.0,8.0,5.0,8.0,5.0,1.0,1.0,7.0,0.0,27.0,11.0,1.0,2.0,9.0,0.0,6.0,3.0,8.0,22.0,3.0,137.0,29.0,14.0,24.0,88.0,56.0,23.0,49.0,25.0,27.0,21.0,16.0,59.0,44.0,129.0,44.0,66.0,219.0,22.0,28.0,8.0,10.0,13.0,6.0,37.0,28.0,11.0,50.0,0.0,14.0,1.0,6.0,15.0,3.0,2.0,62.0,17.0,33.0,21.0,9.0,9.0,30.0,52.0,4.0,51.0,8.0,1.0,0.0,21.0,88.0,69.0,67.0,49.0,5.0
2016,36.0,7.0,14.0,48.0,2.0,4.0,23.0,21.0,53.0,6.0,18.0,15.0,15.0,11.0,65.0,34.0,74.0,25.0,17.0,5.0,8.0,28.0,43.0,46.0,15.0,22.0,16.0,34.0,9.0,9.0,41.0,66.0,22.0,160.0,46.0,34.0,15.0,21.0,209.0,186.0,39.0,37.0,77.0,40.0,127.0,177.0,44.0,83.0,48.0,92.0,13.0,1.0,1.0,8.0,3.0,9.0,2.0,4.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,49.0,16.0,4.0,12.0,12.0,6.0,24.0,18.0,17.0,9.0,41.0,9.0,10.0,4.0,2.0,3.0,10.0,1.0,1.0,4.0,1.0,2.0,7.0,7.0,4.0,4.0,4.0,2.0,0.0,0.0,11.0,1.0,0.0,8.0,2.0,1.0,2.0,8.0,25.0,1.0,214.0,35.0,16.0,10.0,82.0,58.0,30.0,37.0,24.0,21.0,15.0,14.0,56.0,11.0,129.0,40.0,60.0,166.0,14.0,10.0,0.0,15.0,21.0,7.0,41.0,8.0,13.0,36.0,1.0,12.0,0.0,3.0,9.0,10.0,2.0,37.0,12.0,39.0,18.0,15.0,6.0,28.0,59.0,4.0,37.0,11.0,2.0,1.0,23.0,84.0,75.0,11.0,39.0,22.0
2017,23.0,5.0,8.0,38.0,2.0,3.0,21.0,28.0,67.0,2.0,17.0,9.0,18.0,5.0,51.0,21.0,65.0,39.0,7.0,7.0,4.0,39.0,25.0,62.0,20.0,18.0,6.0,19.0,13.0,6.0,38.0,88.0,17.0,127.0,17.0,41.0,18.0,20.0,204.0,165.0,26.0,15.0,64.0,32.0,106.0,131.0,38.0,87.0,49.0,103.0,5.0,0.0,2.0,3.0,1.0,2.0,5.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,29.0,19.0,7.0,17.0,4.0,2.0,16.0,6.0,10.0,4.0,39.0,7.0,15.0,0.0,3.0,0.0,11.0,4.0,0.0,0.0,5.0,5.0,1.0,14.0,5.0,0.0,3.0,3.0,1.0,2.0,2.0,0.0,1.0,10.0,0.0,0.0,1.0,6.0,46.0,0.0,279.0,20.0,9.0,10.0,41.0,26.0,14.0,22.0,12.0,14.0,11.0,4.0,20.0,27.0,69.0,23.0,32.0,121.0,9.0,23.0,3.0,5.0,9.0,6.0,27.0,15.0,17.0,28.0,4.0,12.0,0.0,2.0,6.0,1.0,3.0,21.0,5.0,28.0,19.0,19.0,6.0,19.0,61.0,3.0,36.0,11.0,1.0,2.0,11.0,98.0,89.0,27.0,67.0,18.0
2018,24.0,6.0,13.0,22.0,2.0,2.0,11.0,14.0,29.0,5.0,18.0,14.0,14.0,3.0,52.0,37.0,78.0,14.0,9.0,7.0,1.0,45.0,38.0,74.0,9.0,39.0,13.0,50.0,5.0,9.0,68.0,140.0,30.0,73.0,26.0,36.0,23.0,30.0,157.0,121.0,27.0,21.0,134.0,71.0,58.0,130.0,58.0,81.0,56.0,161.0,3.0,3.0,1.0,4.0,4.0,8.0,4.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,50.0,37.0,16.0,32.0,19.0,21.0,10.0,17.0,13.0,4.0,28.0,24.0,18.0,1.0,2.0,0.0,12.0,8.0,2.0,3.0,5.0,5.0,2.0,9.0,9.0,5.0,4.0,2.0,1.0,0.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,10.0,3.0,0.0,160.0,22.0,7.0,12.0,42.0,23.0,15.0,13.0,21.0,15.0,9.0,6.0,25.0,19.0,39.0,15.0,15.0,78.0,10.0,4.0,1.0,12.0,5.0,1.0,15.0,15.0,13.0,29.0,1.0,2.0,0.0,2.0,12.0,8.0,2.0,31.0,8.0,13.0,13.0,32.0,10.0,21.0,22.0,4.0,22.0,2.0,2.0,2.0,21.0,64.0,85.0,21.0,47.0,8.0
2019,28.0,5.0,14.0,45.0,3.0,0.0,26.0,24.0,23.0,15.0,24.0,10.0,24.0,14.0,81.0,37.0,72.0,24.0,17.0,6.0,6.0,38.0,47.0,80.0,9.0,24.0,7.0,39.0,12.0,16.0,66.0,148.0,24.0,88.0,37.0,24.0,24.0,27.0,83.0,76.0,25.0,21.0,119.0,45.0,58.0,71.0,59.0,85.0,56.0,153.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,34.0,14.0,26.0,24.0,14.0,2.0,31.0,12.0,11.0,38.0,27.0,26.0,0.0,1.0,7.0,8.0,5.0,0.0,5.0,13.0,1.0,6.0,9.0,16.0,4.0,0.0,5.0,0.0,5.0,2.0,0.0,3.0,7.0,0.0,1.0,6.0,11.0,2.0,0.0,58.0,12.0,6.0,7.0,42.0,29.0,16.0,9.0,15.0,8.0,13.0,2.0,19.0,9.0,58.0,27.0,31.0,76.0,8.0,13.0,2.0,6.0,7.0,4.0,11.0,8.0,13.0,15.0,3.0,1.0,0.0,6.0,18.0,3.0,3.0,22.0,9.0,17.0,10.0,25.0,12.0,20.0,28.0,9.0,17.0,3.0,8.0,1.0,15.0,67.0,58.0,14.0,25.0,9.0
2020,14.0,0.0,6.0,9.0,2.0,1.0,11.0,3.0,7.0,1.0,4.0,5.0,9.0,3.0,17.0,13.0,23.0,8.0,5.0,3.0,1.0,7.0,10.0,34.0,4.0,9.0,2.0,10.0,3.0,1.0,10.0,40.0,6.0,24.0,11.0,10.0,10.0,4.0,22.0,21.0,4.0,6.0,24.0,11.0,20.0,19.0,10.0,13.0,8.0,60.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,1.0,5.0,6.0,1.0,0.0,7.0,6.0,1.0,6.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,20.0,7.0,1.0,1.0,14.0,3.0,7.0,5.0,3.0,3.0,4.0,5.0,6.0,4.0,22.0,17.0,15.0,26.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,6.0,0.0,9.0,3.0,6.0,1.0,5.0,3.0,4.0,8.0,4.0,0.0,0.0,4.0,5.0,12.0,4.0,4.0,1.0
2021,9.0,1.0,6.0,2.0,1.0,0.0,5.0,6.0,12.0,2.0,1.0,4.0,8.0,5.0,12.0,2.0,15.0,5.0,1.0,1.0,0.0,9.0,2.0,15.0,2.0,8.0,4.0,3.0,0.0,6.0,8.0,15.0,10.0,6.0,2.0,6.0,9.0,9.0,26.0,20.0,7.0,4.0,25.0,13.0,12.0,9.0,9.0,19.0,5.0,33.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,7.0,4.0,2.0,8.0,1.0,0.0,1.0,3.0,1.0,7.0,2.0,5.0,0.0,0.0,3.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,7.0,1.0,1.0,7.0,8.0,2.0,4.0,5.0,7.0,3.0,3.0,9.0,4.0,11.0,5.0,10.0,18.0,2.0,6.0,2.0,2.0,2.0,1.0,12.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,3.0,4.0,1.0,2.0,4.0,2.0,4.0,0.0,1.0,0.0,0.0,14.0,14.0,7.0,9.0,0.0
